Bold Words
Anh hùng ca
Bản chính
Bản dịch
Bản gốc
Bản tái bản
Bản thảo
Bản xuất bản
Bạt
Bi ca
Bi hài kịch
Bi kịch
Biền ngẫu
Biện pháp nghệ thuật
Biến thể
Biểu
Bút danh
Bút kí
Bút pháp
Bút tích
Ca dao
Ca trù
Cá tính sáng tạo
Cái bi
Cái cao cả
Cái đẹp
Cái hài
Cái hùng
Cảm hứng chủ đạo
Cáo
Câu đố
Câu đốì
Cấu trúc của tác phẩm
Cấu tứ
Châm biếm
Châm ngôn
Chân dung văn học
Chân lí nghệ thuật
Chất liệu nghệ thuật
Chèo
Chiếu
Chơi chữ
Chủ đề
Khai đoan
Lạ hóa
Lai cảo
Lí luận văn học
Lí thuyết loại hình – lịch sử
Lí thuyết thông tin và nghiên cứu văn
học
Lí thuyết trò chơi
Lí tưởng hóa
Lí tưởng thẩm mĩ
Lịch sử sáng tác tác phẩm văn học
Lịch sử văn học
Loại hình nghệ thuật
Lộng ngữ 
Lời đối thoại và lời độc thoại
Lời nửa trực tiếp
Lời văn nghệ thuật
Lớp
Lục bát
Luận
Luật thơ
Mở nút
Phóng sự
Phônclo
Phúng dụ
Phương ngôn
Phương pháp sáng tác
Quá trình văn học
Quan họ
Quyền tác giả
Siêu điển hình
Song thất lục bát
Sử thi
Thơ
Truyện ngắn
Truyện Nôm
Truyện tiếu lâm
Trữ tình ngoại đề
Trường ca
Trường phái văn học
Tục ngữ
Tuồng
Tuỳ bút
Tư duy nghệ thuật
Tư tưởng tác phẩm văn học
Từ
Tự
Tự sự
Tự truyện
Tựa
Tượng trưng
